"","screenName","text","retweetCount","favoriteCount","score","absolute_score","lon","lat"
"1","__mxlissa_","RT @DailyMigueI: Miguel performed “Caramelo Duro” and brought out @KALIUCHIS to perform her unreleased verse #Coachella https://t.co/aO7JWP…",5470,0,0,0,NA,NA
"2","_Awakenineg_","RT @YoshikiOfficial: Playing #sweetdreams with my dear friend @marilynmanson at @coachella. #coachella #marilynmanson #yoshiki #xjapan @xja…",1579,0,0,0,NA,NA
"3","_dstleger","Can’t wait to dress up as Master Chief at #Coachella next year https://t.co/OmJivq7Nxp",0,0,1,1,NA,NA
"4","_hugsofariana","RT @Saidamar: I<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>COULD<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>NOT<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>MISS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>THIS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>ONE #BEYCHELLA #Coachella https://t.co/sSdffcqSz5",21415,0,0,0,-94.667696,39.129956
"5","_kellysalih","RT @NavyAUS: @Rihanna stuns us in a @gucci balaclava at #Coachella! <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> https://t.co/5kKH2DwcYW",3,0,0,0,NA,NA
"6","_Maytexo","RT @Keith_McPherson: <ed><U+00A0><U+00BE><ed><U+00B7><U+009F><U+200D><U+2642><U+FE0F>“Bounce” - @flatbushzombies @meechisdead @ZOMBIEJuicee @coachella #flatbushzombies #fbz #zombiegang #day2 #flatbus…",1504,0,0,0,NA,NA
"7","_Nolwazi_","RT @xStaciox: So I did a thing today #Beychella #Coachella https://t.co/LKOYt1o3Ki",37,0,0,0,-95.685153,39.047894
"8","_rrenne_","RT @BeyLegion: Beyoncé performing ""Kitty Kat"" at #Coachella tonight. #Beychella #Round2 https://t.co/gJB4erlhiD",704,0,0,0,NA,NA
"9","_SmokinHot","RT @NickChampa: Nochella blues <ed><U+00A0><U+00BD><ed><U+00B8><U+00AA>... jk I’ve never been to #coachella <ed><U+00A0><U+00BE><ed><U+00B4><U+00AB>
—
<ed><U+00A0><U+00BD><ed><U+00B3><U+00B1>:@pierreabouvier https://t.co/HMvOVepjPV",82,0,0,0,NA,NA
"10","_xoxojohn","RT @xStaciox: So I did a thing today #Beychella #Coachella https://t.co/LKOYt1o3Ki",37,0,0,0,-98.4936282,29.4241219
"11","2bluntz_Blowinq","RT @YoungSwaggaReal: This is @kanyewest until further notice...
#KanyeWest:

#TheShadeRoom #WorldStar #WSHH #Entertainment #News #Fights
#C…",6,0,0,0,NA,NA
"12","2GirlsOnaBench","RT @TheThirst: GOOD MORNING!! we're back with our seventeenth episode &amp; it's a long one (sorry 'bout it!). we talk #lovesimon #aquietplace…",4,0,0,0,-118.2436849,34.0522342
"13","2VHDF","RT @xStaciox: So I did a thing today #Beychella #Coachella https://t.co/LKOYt1o3Ki",37,0,0,0,-111.0937311,34.0489281
"14","3dOLLabILL","RT @wmag: .@KourtneyKardash and Kate Moss prove #Coachella isn't the only desert locale worth visiting: https://t.co/MqlxyU16xG https://t.c…",5,0,0,0,NA,NA
"15","62yazu","RT @Saidamar: I<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>COULD<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>NOT<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>MISS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>THIS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>ONE #BEYCHELLA #Coachella https://t.co/sSdffcqSz5",21415,0,0,0,NA,NA
"16","a31airdrop","RT @Tesla_Token: Special bonus for the 3 investors

To invest Check pinned tweet

Retweet
Follow
Comment ETH Add 

#Ethereum #bounty #coach…",42,0,1,1,113.921327,-0.789275
"17","AbaYom1Ola","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",228,0,0,0,NA,NA
"18","AbdulganiyuA","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",228,0,0,0,NA,NA
"19","Abdulwaziu1122","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",228,0,0,0,NA,NA
"20","abroadjaunty","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"21","adam_asher","RT @GalsWander: Z: Having one of those mornings where you wake up, and it’s full of possibilities....
Where Gals Wander
There’s More To Lif…",11,0,0,0,-84.3879824,33.7489954
"22","Adamslightzjade","RT @LittleMix: When #Leighade take on #Coachella <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0085> LM HQ x https://t.co/fHVrPOR09R",4054,0,0,0,-112.107031,33.482159
"23","adanjr102279","RT @Tesla_Token: Special bonus for the 3 investors

To invest Check pinned tweet

Retweet
Follow
Comment ETH Add 

#Ethereum #bounty #coach…",42,0,1,1,122.0790267,6.9214424
"24","Ademola426","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",228,0,0,0,NA,NA
"25","adeniyialabi4","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",228,0,0,0,NA,NA
"26","Adeyemo02974505","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",228,0,0,0,NA,NA
"27","Adeyemo255","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",228,0,0,0,NA,NA
"28","adeyemob400","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",228,0,0,0,NA,NA
"29","AdhistyFachrine","RT @vsactu: Taylor Hill x #Coachella https://t.co/yCEWUk9Lcj",126,0,0,0,NA,NA
"30","adolescentpinki","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"31","ahllihsun","RT @DailyMigueI: Miguel performed “Caramelo Duro” and brought out @KALIUCHIS to perform her unreleased verse #Coachella https://t.co/aO7JWP…",5470,0,0,0,NA,NA
"32","aikaoosaki","RT @YoshikiOfficial: Nice hanging out with you at @coachella #backstage .!
#<U+30B3><U+30FC><U+30C1><U+30A7><U+30E9> <U+306E> #<U+30D0><U+30C3><U+30AF><U+30B9><U+30C6><U+30FC><U+30B8><U+3067> X !
Repost:  #XMen @billyidol @xjapanofficial…",996,0,1,1,138.252924,36.204824
"33","AjibolaSalam","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",228,0,0,0,NA,NA
"34","alannocau1978","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"35","alarm_ring","RT @Saidamar: I<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>COULD<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>NOT<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>MISS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>THIS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>ONE #BEYCHELLA #Coachella https://t.co/sSdffcqSz5",21415,0,0,0,-95.973124,36.746805
"36","Alexx_H_","RT @xStaciox: So I did a thing today #Beychella #Coachella https://t.co/LKOYt1o3Ki",37,0,0,0,-96.7969879,32.7766642
"37","allpublicart","We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The… https://t.co/W4snklDWBn",131,47,0,0,-95.712891,37.09024
"38","AMHXJR","RT @BeyLegion: Beyoncé's band &amp; dancers celebrating after the show. #Beychella #Coachella <ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BC><ed><U+00BE><U+0089> https://t.co/H8xNURvUw6",939,0,0,0,-81.8313967,30.1718726
"39","AmieyaBrown","RT @mothabey: “wait, is that bubbalicious gum?”
“no”
“nile later’s?”
“yeah, you want one?”
“yes”
ICONIC!!!! LEGENDARY!!!! ALL OF THE ABOVE!…",33202,0,1,1,NA,NA
"40","amjadparvaiz786","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",228,0,0,0,NA,NA
"41","analysisnytimes","How did #Beyoncé put her #Coachella show together? JaQuel Knight and Chris Grant, her 2 main choreographers, talk u… https://t.co/WGcv8KWkNt",3,3,0,0,-74.0059728,40.7127753
"42","AndersBrainsick","RT @BubbloApp: So we brought you pics from the Coachella house, but have you seen the video!?

Take a look at exactly how amazing the #Coac…",2,0,1,1,NA,NA
"43","andoukaoru08","RT @YoshikiOfficial: #sweetdreams at @coachella 
W/ @marilynmanson ! @YoshikiOfficial @XJapanOfficial 
#coachella #marilynmanson 
#yoshiki…",1357,0,0,0,140.874074,38.253834
"44","anxietyplss","RT @iamblackbear: tonight #coachella 8:30 pacific https://t.co/DrOHMbNRHi",1796,0,0,0,NA,NA
"45","anyidea","#Detroit Radio Station Bans #KanyeWest #Music After Slavery Comments And Video Of West Attending A Rally At… https://t.co/K3PhXaqjvV",0,0,0,0,-118.2436849,34.0522342
"46","arcucufo1972","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"47","AregbesolaOlab1","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",228,0,0,0,3.5104537,6.6194131
"48","arucha_aristoy","RT @XOnews_: Low Life || Chella’ 18 || Round 2 <ed><U+00A0><U+00BC><ed><U+00BC><U+00B5> @theweeknd #xo #Coachella https://t.co/lAqFJUpJx6",78,0,0,0,-94.1767333,36.3375018
"49","AshGotThis","RT @I_Am_ErikaG: Bey went to DC with that gogo version of Love on Top. #Coachella #Beychella2 https://t.co/zccj0ROVto",857,0,2,2,-81.0998342,32.0835407
"50","atmospherefable","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"51","auditside","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"52","avery_day","RT @actwow: She makes history, again! Congratulations to @Beyonce  for becoming the first woman of colour to headline #Coachella the world’…",2,0,1,1,NA,NA
"53","avery_day","Retweeted WorkingOntarioWomen (@actwow):

She makes history, again! Congratulations to @Beyonce  for becoming the f… https://t.co/FXFZowKYq2",0,0,1,1,NA,NA
"54","awwkwafina","RT @Saidamar: I<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>COULD<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>NOT<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>MISS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>THIS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>ONE #BEYCHELLA #Coachella https://t.co/sSdffcqSz5",21415,0,0,0,NA,NA
"55","Ayahidexeverfr3","RT @XJapanOfficial: .@TheWrap: @Coachella 2018 Final Report Card
Spirit Award Winners @YoshikiOfficial and @XJapanOfficial 
#Coachella #XJa…",421,0,2,2,NA,NA
"56","azmi_jmeks","RT @Tesla_Token: Special bonus for the 3 investors

To invest Check pinned tweet

Retweet
Follow
Comment ETH Add 

#Ethereum #bounty #coach…",42,0,1,1,NA,NA
"57","babygrier007","RT @go90: Best #Coachella EVER!!! https://t.co/YNLoboglxN",3,0,1,1,NA,NA
"58","Bacchusthestrip","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"59","BacockObama","RT @Saidamar: I<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>COULD<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>NOT<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>MISS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>THIS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>ONE #BEYCHELLA #Coachella https://t.co/sSdffcqSz5",21415,0,0,0,NA,NA
"60","badgaldidii_","RT @Saidamar: I<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>COULD<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>NOT<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>MISS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>THIS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>ONE #BEYCHELLA #Coachella https://t.co/sSdffcqSz5",21415,0,0,0,-84.3880318,33.7614059
"61","bagelscommunity","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"62","Baileeey3","RT @_alexisMAURICE: NEVER FORGET! #beyonce #coachella #beychella #beyhive https://t.co/eZciBewWrg",25,0,0,0,-95.3698028,29.7604267
"63","bandanarenal","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,NA,NA
"64","banknotelacking","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",131,0,0,0,105.318756,61.52401
"65","BARBNIKA","RT @PopCrave: Nicki Minaj and Quavo were also spotted together at #Coachella  Friday night, and people are convinced something is brewing b…",129,0,0,0,11.4992475,49.2869826
"66","BARBNIKA","RT @PopCrave: Nicki Minaj with Kylie Jenner, Travis Scott, Chance The Rapper and Quavo at #Coachella. https://t.co/5Nh9KxNVC9",622,0,0,0,11.4992475,49.2869826
"67","BARBNIKA","RT @PopCrave: Nicki Minaj is back and she's playing no games! #Coachella. <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008F> https://t.co/CcelJoekyG",738,0,0,0,11.4992475,49.2869826
