"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",FALSE,0,NA,2018-05-07 00:04:05,FALSE,NA,"993280272891342848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StenlyTatilo",228,TRUE,FALSE,NA,NA
"2","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-07 00:02:18,FALSE,NA,"993279822238486528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mostquan_Sigra",131,TRUE,FALSE,NA,NA
"3","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-07 00:02:05,FALSE,NA,"993279766257160192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","erbiumtable",131,TRUE,FALSE,NA,NA
"4","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-07 00:01:36,FALSE,NA,"993279645205311489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","habitualflank",131,TRUE,FALSE,NA,NA
"5","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",FALSE,0,NA,2018-05-07 00:01:01,FALSE,NA,"993279498757070851",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yemiforu1",228,TRUE,FALSE,NA,NA
"6","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-07 00:00:21,FALSE,NA,"993279331727265794",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","howlfinished",131,TRUE,FALSE,NA,NA
"7","Interested in a #job in #Coachella, CA? This could be a great fit: https://t.co/f1m6hBwENF #warehouse #Hiring #CareerArc",FALSE,0,NA,2018-05-07 00:00:05,FALSE,NA,"993279262806294533",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_CA_schn",0,FALSE,FALSE,"-116.173894","33.6803003"
"8","RT @MikeWallLive: DJ time #TwitterDJ 
Let’s turn up! <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> Day 6. #Wedidntcometotwittertogohomeearly ##DayOfRest 
#Coachella #djmix #djlive #…",FALSE,0,NA,2018-05-06 23:58:55,FALSE,NA,"993278969175838721",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","luxhominum",1,TRUE,FALSE,NA,NA
"9","RT @Saidamar: I<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>COULD<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>NOT<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>MISS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>THIS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>ONE #BEYCHELLA #Coachella https://t.co/sSdffcqSz5",FALSE,0,NA,2018-05-06 23:57:34,FALSE,NA,"993278632926875654",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itsnotmarvyn",21415,TRUE,FALSE,NA,NA
"10","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 23:56:16,FALSE,NA,"993278301895524353",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hemantosunso",131,TRUE,FALSE,NA,NA
