"","lon","lat"
"1",45.0303408,55.8220827
"2",105.318756,61.52401
"3",NA,NA
"4",NA,NA
"5",-77.0354247,38.9294044
"6",NA,NA
"7",NA,NA
"8",NA,NA
"9",-95.992775,36.1539816
"10",33.0826597,68.9585244
"11",41.0002049,56.3509682
"12",NA,NA
"13",45.1745115,54.2000477
"14",61.4368432,55.1644419
"15",NA,NA
"16",37.8379593,51.2980824
"17",NA,NA
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,NA
"22",105.318756,61.52401
"23",NA,NA
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",105.318756,61.52401
"28",-83.0457538,42.331427
"29",NA,NA
"30",NA,NA
"31",-110.9747108,32.2226066
"32",NA,NA
"33",NA,NA
"34",22.937506,-30.559482
"35",-1.2577263,51.7520209
"36",105.318756,61.52401
"37",NA,NA
"38",NA,NA
"39",105.318756,61.52401
"40",27.953389,53.709807
"41",NA,NA
"42",NA,NA
"43",NA,NA
"44",NA,NA
"45",NA,NA
"46",NA,NA
"47",NA,NA
"48",-83.4390843,39.5364511
"49",NA,NA
"50",NA,NA
"51",NA,NA
"52",NA,NA
"53",105.318756,61.52401
"54",NA,NA
"55",NA,NA
"56",-6.044589,52.9808207
"57",NA,NA
"58",NA,NA
"59",-3.74922,40.463667
"60",NA,NA
"61",NA,NA
"62",NA,NA
"63",NA,NA
"64",NA,NA
"65",NA,NA
"66",40.3078719,46.8490381
"67",105.318756,61.52401
"68",NA,NA
"69",NA,NA
"70",NA,NA
"71",NA,NA
"72",-78.6381787,35.7795897
"73",NA,NA
"74",NA,NA
"75",NA,NA
"76",-75.977985,36.8529263
"77",-80.1917902,25.7616798
"78",NA,NA
"79",35.2024425,31.7053821
"80",NA,NA
"81",NA,NA
"82",NA,NA
"83",42.0124661,56.5800358
"84",-93.4702103,37.1178917
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",NA,NA
"90",NA,NA
"91",-88.0978151,36.0589486
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96",NA,NA
"97",-4.2026458,56.4906712
"98",37.6172999,55.755826
"99",NA,NA
"100",NA,NA
"101",NA,NA
"102",NA,NA
"103",NA,NA
"104",NA,NA
"105",102.7395955,57.9845406
"106",36.2850973,54.5518584
"107",NA,NA
"108",NA,NA
"109",-106.4914272,31.7488923
"110",-82.9987942,39.9611755
"111",NA,NA
"112",NA,NA
"113",NA,NA
"114",NA,NA
"115",NA,NA
"116",105.318756,61.52401
"117",-80.1917902,25.7616798
"118",-87.771964,41.909611
"119",105.318756,61.52401
"120",NA,NA
"121",NA,NA
"122",NA,NA
"123",NA,NA
"124",-121.8863286,37.3382082
"125",105.318756,61.52401
"126",42.0124661,56.5800358
"127",105.318756,61.52401
"128",NA,NA
"129",105.318756,61.52401
"130",NA,NA
"131",NA,NA
"132",NA,NA
"133",-87.6297982,41.8781136
"134",NA,NA
"135",37.6172999,55.755826
"136",NA,NA
"137",NA,NA
"138",NA,NA
"139",NA,NA
"140",NA,NA
"141",30.3350986,59.9342802
"142",NA,NA
"143",NA,NA
"144",105.318756,61.52401
"145",NA,NA
"146",NA,NA
"147",NA,NA
"148",NA,NA
"149",NA,NA
"150",105.318756,61.52401
"151",170.399612,69.692947
"152",NA,NA
"153",-95.712891,37.09024
"154",-4.703579,51.672738
"155",45.079162,23.885942
"156",NA,NA
"157",NA,NA
"158",28.0473051,-26.2041028
"159",80.2707184,13.0826802
"160",NA,NA
"161",NA,NA
"162",76.9558321,11.0168445
"163",NA,NA
"164",136.2091547,-30.0002315
"165",-75.058009,39.9562052
"166",-95.712891,37.09024
"167",22.937506,-30.559482
"168",127.9784585,37.6639976
"169",76.9558321,11.0168445
"170",-58.3815591,-34.6036844
"171",NA,NA
"172",12.56738,41.87194
"173",133.775136,-25.274398
"174",-51.92528,-14.235004
"175",NA,NA
"176",-95.712891,37.09024
"177",-73.970379,40.7581722
"178",NA,NA
"179",151.206173,-33.864859
"180",-95.712891,37.09024
"181",79.5512319,26.6296479
"182",-76.6412712,39.0457549
"183",NA,NA
"184",-118.2436849,34.0522342
"185",-82.1273312,34.9481741
"186",-77.1259843,-12.0508491
"187",NA,NA
"188",-95.712891,37.09024
"189",NA,NA
"190",4.3517211,50.8503463
"191",-74.0059728,40.7127753
"192",-71.1229798,42.3726784
"193",103.846656,46.862496
"194",103.846656,46.862496
"195",-58.3815591,-34.6036844
"196",-80.8431267,35.2270869
"197",NA,NA
"198",4.469936,50.503887
"199",NA,NA
"200",NA,NA
"201",-74.0059728,40.7127753
"202",NA,NA
"203",-94.7353649,37.0248437
"204",-2.2405035,53.7892877
"205",NA,NA
"206",NA,NA
"207",NA,NA
"208",-74.0059728,40.7127753
"209",NA,NA
