YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 01 01 999 99.0 99.0  1.98  7.69  6.31 999 1015.0  -2.2   2.5 999.0 99.0
1999 01 01 02 999 99.0 99.0  1.93 14.29  6.40 999 1014.9  -2.6   2.5 999.0 99.0
1999 01 01 03 999 99.0 99.0  1.95  8.33  6.64 999 1014.7  -1.6   2.5 999.0 99.0
1999 01 01 04 999 99.0 99.0  2.03  7.69  6.61 999 1014.8  -1.8   2.5 999.0 99.0
1999 01 01 05 999 99.0 99.0  2.34  7.69  6.70 999 1014.9  -2.1   2.4 999.0 99.0
1999 01 01 06 999 99.0 99.0  2.08  8.33  6.78 999 1014.8  -1.7   2.4 999.0 99.0
1999 01 01 07 999 99.0 99.0  2.32  7.69  6.69 999 1015.0  -1.7   2.4 999.0 99.0
1999 01 01 08 999 99.0 99.0  2.01  7.69  6.34 999 1015.0  -2.0   2.4 999.0 99.0
1999 01 01 09 999 99.0 99.0  2.31  7.69  6.86 999 1014.9  -2.3   2.4 999.0 99.0
1999 01 01 10 999 99.0 99.0  1.93 14.29  6.43 999 1014.7  -1.8   2.5 999.0 99.0
1999 01 01 11 999 99.0 99.0  2.09 12.50  6.87 999 1014.8  -2.0   2.5 999.0 99.0
1999 01 01 12 999 99.0 99.0  1.94  7.14  6.64 999 1014.7  -1.9   2.4 999.0 99.0
1999 01 01 13 999 99.0 99.0 99.00 99.00 99.00 999 1014.4  -2.0   2.4 999.0 99.0
1999 01 01 14 999 99.0 99.0  2.00 14.29  7.10 999 1014.2  -2.0   2.4 999.0 99.0
1999 01 01 15 999 99.0 99.0  2.00 14.29  7.55 999 1013.9  -2.1   2.4 999.0 99.0
1999 01 01 16 999 99.0 99.0  2.01 12.50  7.57 999 1013.8  -1.9   2.4 999.0 99.0
1999 01 01 17 999 99.0 99.0  1.91 14.29  7.34 999 1013.3  -1.9   2.6 999.0 99.0
1999 01 01 18 999 99.0 99.0  2.06 14.29  8.23 999 1013.0  -1.7   2.6 999.0 99.0
1999 01 01 19 999 99.0 99.0  1.94 14.29  7.66 999 1012.8  -1.7   2.5 999.0 99.0
1999 01 01 20 999 99.0 99.0  2.08 12.50  7.86 999 1013.2  -1.6   2.3 999.0 99.0
1999 01 01 21 999 99.0 99.0  2.17 12.50  8.02 999 1013.6  -1.9   2.2 999.0 99.0
1999 01 01 22 999 99.0 99.0  2.09 12.50  7.64 999 1013.7  -2.3   2.2 999.0 99.0
1999 01 01 23 999 99.0 99.0  1.94 12.50  7.44 999 1013.4  -1.6   2.2 999.0 99.0
1999 01 02 00 999 99.0 99.0  2.01 12.50  7.21 999 1012.8  -1.3   2.3 999.0 99.0
1999 01 02 01 999 99.0 99.0  1.83 12.50  6.96 999 1012.1  -1.6   2.3 999.0 99.0
1999 01 02 02 999 99.0 99.0  1.96 12.50  6.88 999 1011.1   -.8   2.4 999.0 99.0
1999 01 02 03 999 99.0 99.0  1.83 12.50  6.30 999 1010.9   -.6   2.4 999.0 99.0
