YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00   6 10.4 12.8  4.38 11.11  8.25 999  997.0  -0.4   2.9 999.0 99.0 99.00
2001 01 01 01  10 10.2 12.1  3.91 12.50  8.26 999  997.7  -1.2   2.9 999.0 99.0 99.00
2001 01 01 02   6 12.7 15.6  4.45 12.50  8.57 999  998.0  -1.0   3.0 999.0 99.0 99.00
2001 01 01 03  10 12.7 15.0  4.14 12.50  8.12 999  999.4  -1.4   3.1 999.0 99.0 99.00
2001 01 01 04 357 13.5 17.0  4.32 11.11  7.88 999 1000.1  -1.5   3.1 999.0 99.0 99.00
2001 01 01 05   2 11.8 14.0  4.82 11.11  8.16 999 1001.1  -1.9   3.1 999.0 99.0 99.00
2001 01 01 06 355 10.7 13.2  4.71 11.11  8.31 999 1001.9  -2.0   3.1 999.0 99.0 99.00
2001 01 01 07 358 10.8 13.3  4.26 11.11  8.08 999 1002.2  -2.0   3.1 999.0 99.0 99.00
2001 01 01 08 354  9.6 11.5  4.21 11.11  8.02 999 1002.6  -2.2   3.1 999.0 99.0 99.00
2001 01 01 09 360  9.5 12.1  3.72 11.11  7.77 999 1002.8  -2.3   3.1 999.0 99.0 99.00
2001 01 01 10 340  8.7 10.8  3.74 10.00  7.74 999 1004.0  -2.6   3.1 999.0 99.0 99.00
2001 01 01 11 346 11.8 14.3  4.07 11.11  8.24 999 1004.0  -2.7   3.1 999.0 99.0 99.00
2001 01 01 12 340 11.0 13.1  4.30 12.50  8.11 999 1003.9  -2.3   3.1 999.0 99.0 99.00
2001 01 01 13 337 10.1 12.4  4.09 11.11  8.17 999 1004.0  -2.3   3.1 999.0 99.0 99.00
2001 01 01 14 335  8.9 11.3  4.39 12.50  8.77 999 1004.1  -3.1   3.1 999.0 99.0 99.00
2001 01 01 15 324  8.5 10.6  4.34 12.50  8.58 999 1004.1  -2.4   3.1 999.0 99.0 99.00
2001 01 01 16 315  7.2  9.1  4.01 12.50  8.75 999 1004.0  -2.3   3.0 999.0 99.0 99.00
2001 01 01 17 324  6.3  8.3  4.20 12.50  8.99 999 1003.1  -2.3   3.1 999.0 99.0 99.00
2001 01 01 18 304  5.7  7.2  3.79 11.11  8.49 999 1002.8  -2.3   3.1 999.0 99.0 99.00
2001 01 01 19 277  4.5  5.5  4.01 12.50  8.72 999 1002.5  -2.1   3.1 999.0 99.0 99.00
2001 01 01 20 260  3.0  4.9  4.06 11.11  8.81 999 1002.2  -2.0   3.1 999.0 99.0 99.00
2001 01 01 21 203  3.5  5.3  4.02 12.50  8.89 999 1002.0  -1.9   3.1 999.0 99.0 99.00
2001 01 01 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 01 23 149  5.5  7.8  3.30 12.50  8.40 999 1002.0  -0.9   3.1 999.0 99.0 99.00
2001 01 02 00 132  5.5  7.5  3.31 11.11  8.72 999 1002.0  -1.0   3.1 999.0 99.0 99.00
2001 01 02 01  96  5.8  7.9  3.34 11.11  8.79 999 1001.9  -1.1   3.1 999.0 99.0 99.00
2001 01 02 02 101  6.3  8.4 99.00 99.00 99.00 999 1001.9  -0.7   3.1 999.0 99.0 99.00
2001 01 02 03  76  7.4  8.9  3.09 11.11  8.60 999 1001.9  -1.6   3.1 999.0 99.0 99.00
2001 01 02 04  73  6.9  8.2  3.21 11.11  8.50 999 1001.9  -1.7   3.1 999.0 99.0 99.00
2001 01 02 05  49  6.6  8.1  3.09 11.11  8.47 999 1001.8  -1.1   3.2 999.0 99.0 99.00
2001 01 02 06  45  9.5 11.1  3.29 11.11  8.65 999 1001.6  -0.5   3.1 999.0 99.0 99.00
2001 01 02 07  46 10.8 12.5  3.19 11.11  8.09 999 1001.6   0.3   3.1 999.0 99.0 99.00
2001 01 02 08  51 11.6 13.6  3.16 11.11  7.63 999 1001.1   0.8   3.1 999.0 99.0 99.00
2001 01 02 09  62 12.1 14.5  3.10 11.11  7.29 999 1000.9   1.6   3.1 999.0 99.0 99.00
2001 01 02 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 02 11  80  8.0  9.4  3.24 11.11  7.39 999 1001.0   1.1   2.9 999.0 99.0 99.00
2001 01 02 12  70  8.4 99.0 99.00 99.00 99.00 999 9999.0   1.6 999.0 999.0 99.0 99.00
2001 01 02 13 101  7.8  9.5  2.88 11.11  7.28 999 1000.4   0.8   2.8 999.0 99.0 99.00
2001 01 02 14  74  6.4  7.6  2.80 10.00  7.42 999 1000.4   1.2   2.8 999.0 99.0 99.00
2001 01 02 15  68  7.8  9.0  2.62 11.11  7.20 999 1000.2   1.7   2.8 999.0 99.0 99.00
2001 01 02 16  55  8.1  9.9  2.60 10.00  7.16 999 1000.0   1.3   2.8 999.0 99.0 99.00
2001 01 02 17  56  9.0 10.6  2.66 10.00  7.33 999  999.5   1.7   2.8 999.0 99.0 99.00
