YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00 248 16.6 20.5  7.72 12.90  9.64 999  995.8   1.6   3.8   0.3 99.0 99.00
2004 01 01 01 241 16.8 19.5  7.49 12.90  9.60 999  998.5   0.5   3.8  -1.8 99.0 99.00
2004 01 01 02 228 12.4 15.5  6.86 13.79  9.23 999  999.5   2.2   3.8  -3.3 99.0 99.00
2004 01 01 03 221 12.7 15.7  7.03 13.79  9.68 999 1001.5   2.5   3.8  -4.7 99.0 99.00
2004 01 01 04 214 15.5 18.8  6.95 12.90  9.55 999 1003.4   2.6   3.8  -5.9 99.0 99.00
2004 01 01 05 211 16.1 19.7  6.31 12.90  8.88 999 1005.0   2.1   3.8  -3.6 99.0 99.00
2004 01 01 06 205 16.2 19.4  6.30 12.12  8.96 999 1006.5   1.8   3.8  -4.6 99.0 99.00
2004 01 01 07 211 14.7 17.2  6.50 13.79  8.98 999 1007.3   1.4   3.8  -3.5 99.0 99.00
2004 01 01 08 205 16.3 19.7  6.53 12.12  8.75 999 1008.8   1.7   3.8  -4.1 99.0 99.00
2004 01 01 09 200 15.5 19.0  6.48 12.12  8.69 999 1010.1   1.3   3.8  -2.3 99.0 99.00
2004 01 01 10 202 17.1 21.9  6.24 11.43  8.69 999 1011.2   2.1   3.7  -3.8 99.0 99.00
2004 01 01 11 200 16.5 19.9  6.28 10.81  8.33 999 1012.0   2.1   3.7  -2.7 99.0 99.00
2004 01 01 12 205 15.0 18.2  6.09 10.81  8.29 999 1013.2   2.6   3.7  -2.6 99.0 99.00
2004 01 01 13 198 17.2 21.3  6.01 11.43  8.33 999 1014.3   1.4   3.7  -0.6 99.0 99.00
2004 01 01 14 205 15.9 19.4  5.44 11.43  8.23 999 1015.1   2.7   3.7  -1.0 99.0 99.00
2004 01 01 15 203 15.3 18.4  5.80 13.79  8.63 999 1016.1   2.8   3.7  -1.0 99.0 99.00
2004 01 01 16 201 14.9 18.0  5.65 10.81  8.37 999 1017.2   2.9   3.7  -0.5 99.0 99.00
2004 01 01 17 200 15.3 18.3  5.35 10.81  8.27 999 1017.8   3.3   3.7  -1.6 99.0 99.00
2004 01 01 18 198 15.8 18.7  5.52 12.90  8.40 999 1018.4   3.1   3.7  -0.6 99.0 99.00
2004 01 01 19 194 15.4 19.2  5.22 12.90  8.06 999 1019.4   3.3   3.7  -0.8 99.0 99.00
2004 01 01 20 190 15.0 18.1  5.28 10.00  8.18 999 1020.4   3.4   3.7  -0.3 99.0 99.00
