YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00 174 15.0 20.3  4.57 17.39  8.32 999  983.9   2.3   3.1  -0.1 99.0 99.00
2005 01 01 01 00 165 11.5 13.6  4.76 17.39  8.48 999  983.9   2.8   3.1   0.1 99.0 99.00
2005 01 01 02 00 162 12.7 15.0  5.19 19.05  9.06 999  984.0   3.1   3.1   0.0 99.0 99.00
2005 01 01 03 00 158 12.7 14.8  5.05 19.05  8.78 999  983.9   3.1   3.1  -0.2 99.0 99.00
2005 01 01 04 00 148 14.1 17.6  5.19 17.39  8.71 999  983.7   3.1   3.1  -0.1 99.0 99.00
2005 01 01 05 00 147 14.3 17.5  4.98 17.39  8.38 999  983.7   3.2   3.1   0.1 99.0 99.00
2005 01 01 06 00 154 16.2 19.3  4.94 17.39  8.40 999  983.5   3.5   3.1  -0.5 99.0 99.00
2005 01 01 07 00 142 13.6 16.4  5.27 17.39  7.98 999  983.5   3.4   3.1   0.0 99.0 99.00
2005 01 01 08 00 141 15.3 19.1  5.41 17.39  8.20 999  983.0   3.4   3.1   0.2 99.0 99.00
2005 01 01 09 00 145 16.6 20.2  5.14 16.00  7.97 999  982.3   3.5   3.1   0.2 99.0 99.00
2005 01 01 10 00 144 16.6 21.1  5.56 12.12  7.90 999  981.5   3.2   3.1   0.5 99.0 99.00
2005 01 01 11 00 144 17.1 20.1  5.70 16.00  8.24 999  980.6   3.3   3.1   0.8 99.0 99.00
2005 01 01 12 00 143 16.4 20.6  5.94 13.79  8.31 999  979.2   3.3   3.1   1.4 99.0 99.00
2005 01 01 13 00 144 16.1 19.3  6.13 10.81  8.36 999  977.9   3.3   3.1   2.0 99.0 99.00
2005 01 01 14 00 151 13.0 15.6  6.07 13.79  8.75 999  977.0   3.2   3.1   2.3 99.0 99.00
2005 01 01 15 00 233 10.0 12.5  6.33 12.90  8.95 999  977.2   3.1   3.1   2.5 99.0 99.00
