#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00  48 11.2 13.9  2.99  7.69  5.94 999  998.2  -6.5   2.8 -10.2 99.0 99.00
2007 01 01 01 00  35 12.2 16.1  2.67  7.69  5.90 999  998.2  -6.5   2.8 -11.2 99.0 99.00
2007 01 01 02 00  38 13.4 15.8  2.81  7.69  5.99 999  997.9  -6.0   2.8 -11.1 99.0 99.00
2007 01 01 03 00  18 11.2 14.7  2.80  7.69  5.90 999  998.3  -6.7   2.8 -10.1 99.0 99.00
2007 01 01 04 00  23 12.6 17.3  3.00  7.14  5.80 999  998.6  -6.5   2.8 -11.0 99.0 99.00
2007 01 01 05 00  35 11.7 16.5  3.22  7.69  6.33 999  998.6  -6.3   2.7 -11.3 99.0 99.00
2007 01 01 06 00  34 12.4 15.0  3.61  9.09  6.61 999  998.8  -6.1   2.7 -11.9 99.0 99.00
2007 01 01 07 00  42 11.4 15.0  3.35  8.33  6.50 999  999.0  -6.3   2.7 -10.2 99.0 99.00
2007 01 01 08 00  29 12.3 17.1  3.45  9.09  6.43 999  999.2  -6.2   2.8 -10.3 99.0 99.00
2007 01 01 09 00  48 13.1 16.5  3.57  8.33  6.63 999  999.0  -6.3   2.8  -9.2 99.0 99.00
2007 01 01 10 00  16 12.9 16.3  3.33  9.09  6.41 999  999.5  -6.2   2.8 -10.7 99.0 99.00
2007 01 01 11 00  34 10.6 15.3  3.44  8.33  6.43 999  999.2  -6.8   2.8  -9.9 99.0 99.00
2007 01 01 12 00  22 11.5 14.4  3.16  8.33  6.30 999  999.2  -6.1   2.8 -12.7 99.0 99.00
2007 01 01 13 00  28 12.2 16.3  3.25  9.09  6.47 999  999.4  -7.0   2.8  -9.8 99.0 99.00
2007 01 01 14 00  26 11.2 14.6  3.21  9.09  6.28 999  999.2  -6.8   2.8  -9.9 99.0 99.00
2007 01 01 15 00  20 11.0 13.6  3.36  8.33  6.35 999  999.4  -6.6   2.8 -10.4 99.0 99.00
2007 01 01 16 00  37 11.9 14.7 99.00 99.00 99.00 999  999.3  -6.1   2.8 -11.1 99.0 99.00
2007 01 01 17 00  21 12.2 15.9  2.90  9.09  6.39 999  999.3  -6.4   2.8 -10.7 99.0 99.00
2007 01 01 18 00  37 10.7 13.2  3.53  8.33  6.78 999  999.3  -6.3   2.8 -10.8 99.0 99.00
2007 01 01 19 00  28 11.6 14.4  3.32  8.33  6.60 999  999.5  -5.7   2.8 -12.0 99.0 99.00
