#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50 999  8.7 10.1  1.82  7.69  5.14 999 1007.5   3.0   2.7 999.0 99.0 99.00
2010 01 01 00 50 999  9.1 10.6  1.60  4.76  4.68 999 1007.5   2.9   2.8 999.0 99.0 99.00
2010 01 01 01 50 999  9.6 11.3  1.76  7.14  4.81 999 1007.6   2.6   2.8 999.0 99.0 99.00
2010 01 01 02 50 999  9.8 11.3  1.80 14.81  4.86 999 1008.1   2.8   2.9 999.0 99.0 99.00
2010 01 01 03 50 999 10.0 11.7  1.69  5.26  4.61 999 1008.8   2.9   2.9 999.0 99.0 99.00
2010 01 01 04 50 999 10.7 12.7  1.69  5.56  4.61 999 1009.1   3.0   2.9 999.0 99.0 99.00
2010 01 01 05 50 999 10.1 12.3  1.86  5.88  4.91 999 1009.8   2.9   3.0 999.0 99.0 99.00
2010 01 01 06 50 999 10.0 12.2  1.69  5.88  4.90 999 1010.3   3.1   2.9 999.0 99.0 99.00
2010 01 01 07 50 999  9.3 11.2  1.65  6.25  4.99 999 1010.5   3.2   2.9 999.0 99.0 99.00
2010 01 01 08 50 999 10.4 12.3  1.71  5.88  5.02 999 1010.9   2.9   2.9 999.0 99.0 99.00
2010 01 01 09 50 999  9.9 13.1  2.06  6.67  5.26 999 1011.0   2.3   3.0 999.0 99.0 99.00
2010 01 01 10 50 999 11.3 13.5  2.10  7.14  5.27 999 1011.3   2.9   3.0 999.0 99.0 99.00
2010 01 01 11 50 999 10.5 12.5  2.34  7.14  5.36 999 1011.2   3.1   3.0 999.0 99.0 99.00
2010 01 01 12 50 999 12.8 15.7  2.29  7.14  5.18 999 1011.3   2.7   3.0 999.0 99.0 99.00
2010 01 01 13 50 999 11.7 15.4  2.34  7.69  5.13 999 1011.3   3.1   3.0 999.0 99.0 99.00
2010 01 01 14 50 999 14.2 16.7  2.42  8.33  5.26 999 1011.5   3.2   3.0 999.0 99.0 99.00
2010 01 01 15 50 999 13.4 16.5  2.65  7.69  5.45 999 1011.6   3.4   2.8 999.0 99.0 99.00
2010 01 01 16 50 999 13.7 17.0  2.84  7.69  5.50 999 1011.7   3.1   2.8 999.0 99.0 99.00
2010 01 01 17 50 999 13.8 16.4  2.75  8.33  5.53 999 1012.1   3.2   2.8 999.0 99.0 99.00
2010 01 01 18 50 999 12.7 14.7  2.93  8.33  5.68 999 1012.4   2.8   2.8 999.0 99.0 99.00
2010 01 01 19 50 999 12.2 14.4  2.89  8.33  5.87 999 1012.9   2.6   2.9 999.0 99.0 99.00
2010 01 01 20 50 999 14.4 16.9  2.94  9.09  5.97 999 1013.5   2.6   2.9 999.0 99.0 99.00
2010 01 01 21 50 999 13.3 16.7  3.06  8.33  6.08 999 1013.5   2.7   2.8 999.0 99.0 99.00
2010 01 01 22 50 999 13.5 16.4  3.05  9.09  6.20 999 1013.5   2.9   2.8 999.0 99.0 99.00
2010 01 01 23 50 999 14.3 16.9  3.51  9.09  6.31 999 1013.2   2.9   2.9 999.0 99.0 99.00
2010 01 02 00 50 999 13.2 15.4  3.10  9.09  5.73 999 1013.1   2.5   2.9 999.0 99.0 99.00
2010 01 02 01 50 999 12.9 16.2  3.21  7.69  5.84 999 1013.1   2.2   2.9 999.0 99.0 99.00
2010 01 02 02 50 999 13.6 15.7  3.26  9.09  5.96 999 1013.7   2.0   3.0 999.0 99.0 99.00
2010 01 02 03 50 999 12.8 15.9  3.24 10.00  5.87 999 1014.2   1.6   2.9 999.0 99.0 99.00
2010 01 02 04 50 999 12.9 15.6  3.03  9.09  5.72 999 1014.5   1.7   2.9 999.0 99.0 99.00
2010 01 02 05 50 999 13.9 16.3  3.07  7.69  5.86 999 1015.0   1.5   2.9 999.0 99.0 99.00
2010 01 02 06 50 999 14.3 16.7  3.29  9.09  5.99 999 1015.3   1.5   3.0 999.0 99.0 99.00
2010 01 02 07 50 999 13.4 16.2  3.33 10.00  6.08 999 1015.5   1.5   3.0 999.0 99.0 99.00
2010 01 02 08 50 999 13.7 16.7  3.26  9.09  6.17 999 1015.7   1.2   2.9 999.0 99.0 99.00
2010 01 02 09 50 999 12.9 15.6  2.97 10.00  6.01 999 1015.9   1.4   2.9 999.0 99.0 99.00
2010 01 02 10 50 999 13.6 16.8  3.23 10.00  6.11 999 1016.1   1.4   2.9 999.0 99.0 99.00
2010 01 02 11 50 999 13.5 16.0  3.30  9.09  6.17 999 1016.3   1.1   2.9 999.0 99.0 99.00
2010 01 02 12 50 999 13.6 16.3  3.33  9.09  6.03 999 1016.0   1.0   2.9 999.0 99.0 99.00
